Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:09:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-6,-25,0,37,0,134,88,100,1
2022/09/27/ 21:09:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-6,-25,0,38,0,134,88,100,1
2022/09/27/ 21:09:51,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-6,-25,0,39,0,134,88,100,1
2022/09/27/ 21:09:51,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-7,-25,0,37,0,134,88,100,1
2022/09/27/ 21:09:52,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:53,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:53,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:54,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:54,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:54,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-8,-24,0,37,0,134,88,100,1
2022/09/27/ 21:09:55,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-8,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:55,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-8,-24,0,39,0,134,88,100,1
2022/09/27/ 21:09:56,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-4,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:57,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-4,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:57,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:58,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-4,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:58,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:59,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-4,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:59,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-4,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:59,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-4,-23,0,38,0,134,88,100,1
2022/09/27/ 21:10:00,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:10:01,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:10:01,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:10:02,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:10:02,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:10:03,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:10:03,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:10:04,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:10:04,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
