Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/28/ 01:53:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:50,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:51,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:51,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:51,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:52,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-19,0,39,1,134,114,100,0
2022/09/28/ 01:53:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-27,-19,0,37,1,134,114,100,0
2022/09/28/ 01:53:53,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:54,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:54,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:55,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:55,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:56,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-59,-28,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:57,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-20,0,39,1,134,114,100,0
2022/09/28/ 01:53:58,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-27,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:58,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-60,-27,-20,0,37,1,134,114,100,0
2022/09/28/ 01:53:59,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-28,-20,0,38,1,134,114,100,0
2022/09/28/ 01:53:59,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-28,-20,0,39,1,134,114,100,0
2022/09/28/ 01:54:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-28,-20,0,38,1,134,114,100,0
2022/09/28/ 01:54:00,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-27,-20,0,39,1,134,114,100,0
