Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:10:19,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:19,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-18,0,38,1,134,30,130,0
2022/09/17/ 16:10:20,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:20,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:21,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:21,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:22,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:22,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:23,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:23,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:24,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:24,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:25,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:25,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:26,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:26,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:27,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:27,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:28,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:28,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:29,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:29,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:30,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:30,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:31,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:31,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:32,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:32,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:33,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:33,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:34,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:34,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:35,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:35,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:36,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:36,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:37,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:37,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:38,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:38,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:39,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:39,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:40,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:40,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:41,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:41,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:10:42,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
