Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:24,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:24,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:25,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:25,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:26,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:26,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:27,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:27,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:28,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:28,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:29,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:29,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:30,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:30,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:31,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:31,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:32,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:32,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:32,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-31,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:33,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-31,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:34,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:34,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:34,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:35,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:35,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-30,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,39,1,134,105,100,0
